player_key,search_query,aliases,uuid,source,title,description,snippet,url,image_url,language,published_at,categories
dru smith,"(""dru smith"") AND NBA AND (""free agency"" OR ""free agent"" OR offseason)",dru smith,a7c3fb8c-1c92-4e23-879a-d09d3a9db342,espn.com,"Cap space, best fits for all 30 teams","With the start of NBA free agency just days away, Bobby Marks has all 30 teams covered.","Bobby Marks questions how the Knicks can attract free agents without filling their head coaching vacancy. (0:54)

Open Extended Reactions

With the NBA draft co...",https://www.espn.com/nba/story/_/id/45599900/nba-free-agency-2025-cap-space-best-fits-all-30-teams,https://a4.espncdn.com/combiner/i?img=%2Fphoto%2F2025%2F0628%2Fr1512186_1296x729_16%2D9.jpg,en,2025-06-28T15:36:08.000000Z,sports
amir coffey,"(""amir coffey"" OR coffey) AND NBA AND (""free agency"" OR ""free agent"" OR offseason)",amir coffey; coffey,81d8460c-4cec-42ba-93ef-dae7cbdf68b6,cbssports.com,"Resetting the NBA offseason: Best free agents remaining, plus extension-eligible players and trade candidates","The NBA offseason is past its peak, but there are still some deals that need to be done","The NBA Draft was a month ago, most major free-agent deals have been done for three weeks and summer league is in the books. (Congratulations to Kon Knueppel, K...",https://www.cbssports.com/nba/news/resetting-the-nba-offseason-best-free-agents-remaining-plus-extension-eligible-players-and-trade-candidates/,https://sportshub.cbsistatic.com/i/r/2025/07/24/2eeb2f9f-bf66-44fc-b8b7-8fda334f7604/thumbnail/1200x675/c3756391bc23d190290d8310ed0f8822/josh-giddey-getty-1.png,en,2025-07-24T18:06:11.000000Z,sports
amir coffey,"(""amir coffey"" OR coffey) AND NBA AND (""free agency"" OR ""free agent"" OR offseason)",amir coffey; coffey,ccab8abc-c0af-4af6-8c8a-a6b8f2c0de7f,espn.com,"NBA Summer Forecast 2025-26: Who could exceed, fall short of predictions?",Too low on OKC? Too high on the Spurs? Tim Bontemps breaks down ESPN's Summer Forecast win predictions.,"Stephen A. Smith ranks Anthony Davis and Kyrie Irving in his top five players to watch next season and says if they both remain healthy, the Mavericks can go al...",https://www.espn.com/nba/story/_/id/46098074/nba-predictions-2025-26-why-thunder-warriors-heat-outperform,https://a4.espncdn.com/combiner/i?img=%2Fphoto%2F2025%2F0828%2Fr1538091_1296x729_16%2D9.jpg,en,2025-08-29T13:44:14.000000Z,"sports,general"
amir coffey,"(""amir coffey"" OR coffey) AND NBA AND (""free agency"" OR ""free agent"" OR offseason)",amir coffey; coffey,75feaf30-7cca-4c6e-a649-63cb4bb69ca5,cbssports.com,"NBA front office rankings: OKC on top, Lakers and Mavericks low on list, new team falls behind Bulls at No. 30",We're ranking every NBA front office with most of the major summer business completed,"The divide between the NBA's best and worst front offices is starting to widen. On one end of the spectrum, June served as a coronation for the best general man...",https://www.cbssports.com/nba/news/nba-front-office-rankings-okc-on-top-lakers-and-mavericks-low-on-list-new-team-falls-behind-bulls-at-no-30/,https://sportshub.cbsistatic.com/i/r/2025/07/21/55efc194-9d6f-4e4a-b524-db1b12d492f4/thumbnail/1200x675/9034a2ecdaf36f0cbf15fe9cade5d7ed/sam-presti-imagn.png,en,2025-07-21T16:45:24.000000Z,sports
isaiah jackson,"(""isaiah jackson"" OR jackson) AND NBA AND (""free agency"" OR ""free agent"" OR offseason)",isaiah jackson; jackson,f8927b84-9aa3-481e-9cc2-0072aa862826,espn.com,Ripple effects of the Myles Turner-Damian Lillard shocker,"Damian Lillard waived, Myles Turner to Milwaukee: Here's what the surprise moves mean for the Bucks, Pacers and the NBA.","Open Extended Reactions

The Milwaukee Bucks stunned the NBA universe Tuesday morning when they agreed to a four-year, $107 million contract with former Indiana...",https://www.espn.com/nba/story/_/id/45636299/nba-free-agency-2025-ripple-effects-myles-turner-damian-lillard-news,https://a4.espncdn.com/combiner/i?img=%2Fphoto%2F2025%2F0702%2Fr1513777_1296x729_16%2D9.jpg,en,2025-07-02T02:20:30.000000Z,sports
marvin bagley iii,"(bagley OR ""marvin bagley"") AND NBA AND (""free agency"" OR ""free agent"" OR offseason)",bagley; marvin bagley,19f8d0e5-ca4a-4eaa-89fc-8d03c26a3a77,espn.com,How all 30 teams ace their offseason,ESPN's NBA insiders map out the perfect summer for every team.,"Open Extended Reactions

NBA free agency officially begins Monday at 6 p.m. ET. Which teams will make the biggest splashes?

Will the Los Angeles Lakers finally...",https://www.espn.com/nba/story/_/id/45605321/nba-free-agency-2025-how-all-30-teams-ace-their-offseason,https://a3.espncdn.com/combiner/i?img=%2Fphoto%2F2025%2F0627%2Fnba_10%2Dpeople%2Doffseason_16x9.jpg,en,2025-06-29T14:54:52.000000Z,sports
paolo banchero,"(banchero OR ""paolo banchero"") AND NBA AND (""free agency"" OR ""free agent"" OR offseason)",banchero; paolo banchero,c4556304-8004-4af2-98ea-d6c01268c355,espn.com,NBA offseason 2025: 10 teams to watch this summer,"Once the NBA Finals end, these 10 teams could decide the future of the league.","If the 2025 NBA offseason resembles this season's trade deadline, then there will be no shortage of storylines.

Earlier this season, in a one-week period leadi...",https://www.espn.com/nba/story/_/id/45458847/nba-offseason-2025-suns-bucks-lakers-teams-watch-summer,https://a.espncdn.com/combiner/i?img=%2Fphoto%2F2025%2F0605%2Fr1502976_1296x729_16%2D9.jpg,en,2025-06-09T13:38:26.000000Z,sports
paolo banchero,"(banchero OR ""paolo banchero"") AND NBA AND (""free agency"" OR ""free agent"" OR offseason)",banchero; paolo banchero,e06cae8c-c131-4263-b6bb-bde9fdc3d0b4,espn.com,"How the Desmond Bane trade impacts Durant, draft",Sunday's shocking deal has ramifications far beyond Orlando and Memphis -- including the Kevin Durant trade saga.,Brian Windhorst breaks down the Grizzlies trading Desmond Bane to the Magic for a package that includes Kentavious Caldwell-Pope and several draft picks. (1:32)...,https://www.espn.com/nba/story/_/id/45521332/nba-offseason-2025-intel-desmond-bane-trade-means-durant-draft,https://a.espncdn.com/combiner/i?img=%2Fphoto%2F2025%2F0616%2Fr1507172_1296x729_16%2D9.jpg,en,2025-06-16T04:08:41.000000Z,sports
paolo banchero,"(banchero OR ""paolo banchero"") AND NBA AND (""free agency"" OR ""free agent"" OR offseason)",banchero; paolo banchero,af6c4781-bfbc-4885-ad02-053a32aee929,cbssports.com,LeBron James trade rumors: Ranking all 29 teams as possible destinations if the King and the Lakers break up,"The Cavs, Warriors, Knicks and Mavericks find themselves at the top of this list","For the past seven years, the interests of LeBron James and the Los Angeles Lakers broadly aligned. James rescued the Lakers from their post-Kobe Bryant odyssey...",https://www.cbssports.com/nba/news/lebron-james-trade-rumors-ranking-all-29-teams-as-possible-destinations-if-the-king-and-the-lakers-break-up/,https://sportshub.cbsistatic.com/i/r/2025/06/30/b03a8bd0-d106-4169-8258-1660a441afa8/thumbnail/1200x675/aabbfc28586ca2c36f48008bfe69e3f7/lebron-steph-imagn.png,en,2025-06-30T14:03:55.000000Z,sports
paolo banchero,"(banchero OR ""paolo banchero"") AND NBA AND (""free agency"" OR ""free agent"" OR offseason)",banchero; paolo banchero,ac11737d-87e6-4c25-8b8c-a34052db4c5d,espn.com,How close is every franchise to a title?,"While the NBA world watched the Finals, the league's hierarchy shifted. Is OKC already looking over its shoulder in the West?","Open Extended Reactions

The Oklahoma City Thunder won their first championship on Sunday night, beating the Indiana Pacers in Game 7 of the NBA Finals to becom...",https://www.espn.com/nba/story/_/id/45563860/nba-offseason-overhaul-tiers-how-close-rockets-pacers-all-30-teams-title,https://a1.espncdn.com/combiner/i?img=%2Fphoto%2F2025%2F0623%2Fr1510149_1296x729_16%2D9.jpg,en,2025-06-23T15:56:55.000000Z,"sports,general"
kyle lowry,"(""kyle lowry"" OR lowry) AND NBA AND (""free agency"" OR ""free agent"" OR offseason)",kyle lowry; lowry,02f4e512-057b-46d1-9ec8-8dd762301e84,cbssports.com,"Ranking NBA's 10 most interesting contract extension candidates: Devin Booker, Trae Young on star-studded list",Contract extensions have largely killed modern free agency and they'll be a main focus of this summer,"Once upon a time, the NBA's best players used to move through free agency. Think about how many offseasons in the 2010s were dominated by where LeBron James or ...",https://www.cbssports.com/nba/news/ranking-nbas-10-most-interesting-contract-extension-candidates-devin-booker-trae-young-on-star-studded-list/,https://sportshub.cbsistatic.com/i/r/2025/06/17/ef345769-a49d-4dcc-9d0d-e32994355228/thumbnail/1200x675/770d631070058059298529d7ea23ee72/booker-fvv-imagn.png,en,2025-06-17T17:33:48.000000Z,sports
james wiseman,"(""james wiseman"" OR wiseman) AND NBA AND (""free agency"" OR ""free agent"" OR offseason)",james wiseman; wiseman,7202963a-874d-4841-b660-05fed7168f46,espn.com,Free agency NBA Power Rankings -- How all 30 teams stack up in the 2025 offseason,Let's see where all 30 teams stand after a flurry of free agency moves this offseason.,"Ramona Shelburne and Tim Bontemps break down why the Rockets are the best fit for Kevin Durant. (1:40)

Open Extended Reactions

The 2025 NBA offseason is in fu...",https://www.espn.com/nba/story/_/id/45855237/free-agency-nba-power-rankings-2025-offseason-all-30-teams,https://a2.espncdn.com/combiner/i?img=%2Fphoto%2F2025%2F0728%2F250730_nba_power%2Drankings_16x9.jpg,en,2025-07-30T12:51:27.000000Z,sports
james wiseman,"(""james wiseman"" OR wiseman) AND NBA AND (""free agency"" OR ""free agent"" OR offseason)",james wiseman; wiseman,2b1b6131-4a1a-4714-b55b-b0144769e860,espn.com,NBA offseason grades: How every team fared before 2025-26 season,"Kevin Pelton hands out offseason grades for each of the NBA's 30 teams. Who passed, and who scraped by? la","Bobby Marks analyzes what still needs to be done with the Warriors' roster, while Iman Shumpert gives his thoughts on the restricted free agency of Jonathan Kum...",https://www.espn.com/nba/story/_/id/45836861/nba-offseason-grades-2025-26-season-boston-celtics-oklahoma-city-thunder,https://a3.espncdn.com/combiner/i?img=%2Fphoto%2F2025%2F0727%2Fgrading_30_nba_teams2_1296x729.png,en,2025-07-28T13:16:51.000000Z,"sports,general"
james wiseman,"(""james wiseman"" OR wiseman) AND NBA AND (""free agency"" OR ""free agent"" OR offseason)",james wiseman; wiseman,eaaf3423-8010-4659-96ec-6ddb72233538,espn.com,All 30 NBA teams' biggest roster mistakes since 2020,"Zach Kram examines the deals, trades and picks that all 30 NBA teams would like to take back from the 2020s.","Open Extended Reactions

The NBA is famously a league of transactions. Teams must nail their trades, signings and draft picks to compete for the title, and fan ...",https://www.espn.com/nba/story/_/id/45790173/all-30-nba-teams-roster-mistakes-2020,https://a3.espncdn.com/combiner/i?img=%2Fphoto%2F2025%2F0721%2Fr1521884_1296x729_16%2D9.jpg,en,2025-07-22T12:17:30.000000Z,sports
ryan rollins,"(rollins OR ""ryan rollins"") AND NBA AND (""free agency"" OR ""free agent"" OR offseason)",rollins; ryan rollins,0d673531-b368-41bc-9831-ecd74961848b,espn.com,"Names, teams, storylines to watch","LeBron will be a free agent next summer. Giannis, Jokic and Trae could join him. But those stars aren't the only topics we're watching.","Chiney Ogwumike says the Hawks could lose star playmaker Trae Young as he enters the final year of his contract. (1:32)

Open Extended Reactions

Opening night ...",https://www.espn.com/nba/story/_/id/45946735/nba-free-agency-2026-preview-lebron-trae-names-storylines-watch,https://a.espncdn.com/combiner/i?img=%2Fphoto%2F2025%2F0812%2Fr1530975_1296x729_16%2D9.jpg,en,2025-08-14T12:31:07.000000Z,sports
ryan rollins,"(rollins OR ""ryan rollins"") AND NBA AND (""free agency"" OR ""free agent"" OR offseason)",rollins; ryan rollins,8115026f-d55c-4cd6-8e74-d6b18a09d6dd,cbssports.com,How can Bucks build a contender with Giannis Antetokounmpo? Why retooling around Greek Freak will take a while,"Giannis looks like he'll stay in Milwaukee, but the Bucks have a long way to go to get back in title contention","This week, Giannis Antetokounmpo gave his strongest indication yet that he does not plan to request a trade from the Milwaukee Bucks this offseason. ""The Finals...",https://www.cbssports.com/nba/news/how-can-bucks-build-a-contender-with-giannis-antetokounmpo-why-retooling-around-greek-freak-will-take-a-while/,https://sportshub.cbsistatic.com/i/r/2025/06/11/d91d24ba-7d19-4a23-999b-a8d064e99b1d/thumbnail/1200x675/949103a9cd70e415f2122916d9759114/giannis-imagn-1.png,en,2025-06-11T16:16:17.000000Z,sports
jock landale,"(""jock landale"") AND NBA AND (""free agency"" OR ""free agent"" OR offseason)",jock landale,2cc7011c-22b3-4115-a54e-66241ac03af8,espn.com,Reaction and grades for the biggest signings,Kevin Pelton breaks down the offseason's most impactful signings and extensions.,"Open Extended Reactions

The NBA's offseason is here, and teams are making moves to fill their rosters for the 2025-26 season.

The Houston Rockets, who also ad...",https://www.espn.com/nba/story/_/id/45519132/nba-free-agency-2025-reaction-grades-biggest-signings,https://a1.espncdn.com/combiner/i?img=%2Fphoto%2F2024%2F0529%2Fr1338971_1296x729_16%2D9.jpg,en,2025-06-24T03:31:45.000000Z,sports
jock landale,"(""jock landale"") AND NBA AND (""free agency"" OR ""free agent"" OR offseason)",jock landale,639bb450-235b-4ac9-9015-6db68751025a,cbssports.com,"NBA offseason grades for every West team: Rockets ace summer, Lakers and Mavericks fall short, one team fails",Here's how we're grading every Western Conference team this summer,Stop me if you've heard this one before. It's the NBA offseason. The story of the Eastern Conference is how weak and vulnerable it is. The story of the Western ...,https://www.cbssports.com/nba/news/nba-offseason-grades-for-every-west-team-rockets-ace-summer-lakers-and-mavericks-fall-short-one-team-fails/,https://sportshub.cbsistatic.com/i/r/2025/07/10/04c28766-ffb0-455f-bd6e-6ca864911758/thumbnail/1200x675/df7b3c5c8b7fd433dc373b8462e8ef19/ayton-lakers-getty.png,en,2025-07-10T14:11:38.000000Z,sports
larry nance jr,"(""larry nance"") AND NBA AND (""free agency"" OR ""free agent"" OR offseason)",larry nance,2f465948-13bf-4f6e-aff4-81f5cf189f44,espn.com,2025 NBA free agency: The winners and losers of this offseason so far,"From big man depth to the New Orleans Pelicans, here are the early winners and losers of early NBA free agency.",Tim Bontemps breaks down the Lakers' and Warriors' title hopes with LeBron James and Stephen Curry and why the Lakers' future hinges on Luka Doncic's commitment...,https://www.espn.com/nba/story/_/id/45652105/2025-nba-free-agency-winners-losers-offseason,https://a1.espncdn.com/combiner/i?img=%2Fphoto%2F2025%2F0703%2Fr1514290_1296x729_16%2D9.jpg,en,2025-07-03T13:57:01.000000Z,sports
larry nance jr,"(""larry nance"") AND NBA AND (""free agency"" OR ""free agent"" OR offseason)",larry nance,59103428-a140-4193-a952-58933033876e,cbssports.com,2025 NBA free agency guide: Complete list of every team's free agents and contract options for this summer,Each team will have plenty of decisions to make when free agency opens on June 30,"NBA free agency is very different from what it was a decade ago, as most star movement now happens by way of trade. Players are able to steer their way to a pre...",https://www.cbssports.com/nba/news/2025-nba-free-agency-guide-complete-list-of-every-teams-free-agents-and-contract-options-for-this-summer/,https://sportshub.cbsistatic.com/i/r/2025/06/12/c6f3d11c-4a60-428c-abd3-03748dffa710/thumbnail/1200x675/a90e3e166f87025aa6c963b612660603/james-harden-getty-6.png,en,2025-06-12T18:35:24.000000Z,sports
larry nance jr,"(""larry nance"") AND NBA AND (""free agency"" OR ""free agent"" OR offseason)",larry nance,c2085b44-95ff-4885-8073-5eef255338c8,cbssports.com,"Updated NBA offseason winners and losers: Lakers lock up Luka Dončić, jury still out on Warriors",We have an updated list of the summer's winners and losers with most deals done,"We are officially into the NBA's quiet days, where we'll be spending the next six weeks listening to the occasional rumor while waiting for basketball to return...",https://www.cbssports.com/nba/news/updated-nba-offseason-winners-and-losers-lakers-lock-up-luka-doncic-jury-still-out-on-warriors/,https://sportshub.cbsistatic.com/i/r/2025/08/11/a0550028-4c41-450c-8212-c83d255def4f/thumbnail/1200x675/a399d2873eee24a3d0eccc715caafd82/luka-doncic-getty-18.png,en,2025-08-11T20:32:10.000000Z,sports
larry nance jr,"(""larry nance"") AND NBA AND (""free agency"" OR ""free agent"" OR offseason)",larry nance,8f25d2ad-6285-482d-9392-6352b7113803,cbssports.com,"NBA offseason grades for every East team: One team aces summer, Celtics, Knicks in 'B' tier, Bulls confuse","The East appears to be wide open in 2025-26, so who took advantage this summer?","The reigning Eastern Conference champion Indiana Pacers lost their best player, Tyrese Haliburton, to a torn Achilles during the 2025 postseason. The 2024 NBA c...",https://www.cbssports.com/nba/news/nba-offseason-grades-for-every-east-team-one-team-aces-summer-celtics-knicks-in-b-tier-bulls-confuse/,https://sportshub.cbsistatic.com/i/r/2025/07/08/6a24e202-daf7-4b78-8a4e-1ffaabd5ef60/thumbnail/1200x675/1976a8649c2659d0ab43c60e11f84966/porzingis-imagn.png,en,2025-07-09T13:07:28.000000Z,sports
jaxson hayes,"(hayes OR ""jaxson hayes"") AND NBA AND (""free agency"" OR ""free agent"" OR offseason)",hayes; jaxson hayes,50b32a39-776b-4f7a-9005-96cc39d0c7c0,espn.com,"What we're hearing about Luka, LeBron and the Lakers' offseason","After a disappointing first-round playoff flameout, here's an early look at the Lakers' top priorities and targets over the next few weeks.","Tony Kornheiser and Michael Wilbon break down what the Buss family selling the Lakers means for the future of the franchise. (2:49)

Open Extended Reactions

AF...",https://www.espn.com/nba/story/_/id/45598239/nba-offseason-2025-hearing-luka-lebron-los-angeles-lakers-offseason,https://a4.espncdn.com/combiner/i?img=%2Fphoto%2F2025%2F0627%2Fr1512065_1296x729_16%2D9.jpg,en,2025-06-28T13:39:50.000000Z,sports
jaxson hayes,"(hayes OR ""jaxson hayes"") AND NBA AND (""free agency"" OR ""free agent"" OR offseason)",hayes; jaxson hayes,cf19cde3-beda-451e-a9d8-efe7f97fb6e8,cbssports.com,Lakers are thinking big: Assessing the pros and cons of 22 centers Los Angeles could add this NBA offseason,The Lakers will have to find a center (maybe two) in the next month,There are a lot of things about this upcoming offseason that we don't know. We don't know which stars are going to move. We don't know which Eastern Conference ...,https://www.cbssports.com/nba/news/lakers-are-thinking-big-assessing-the-pros-and-cons-of-22-centers-los-angeles-could-add-this-nba-offseason/,https://sportshub.cbsistatic.com/i/r/2025/06/13/fa51e30e-3cd9-4195-8f2d-f056e618fa3b/thumbnail/1200x675/f7cd45a1d9a2e70ed4c9cba91393bd58/luke-kornet-celtics-g.jpg,en,2025-06-13T15:46:40.000000Z,sports
jaxson hayes,"(hayes OR ""jaxson hayes"") AND NBA AND (""free agency"" OR ""free agent"" OR offseason)",hayes; jaxson hayes,80d7d54a-d746-4105-932d-0f5534ad4e15,cbssports.com,Lakers to sign Deandre Ayton: Why adding big man after buyout is exactly the move L.A. needed,"Ayton is reportedly signing a two-year, $16.6 million deal with the Lakers","The Los Angeles Lakers are expected to sign free-agent center Deandre Ayton, according to NBA insider Chris Haynes. Ayton is signing a two-year deal worth $16.6...",https://www.cbssports.com/nba/news/lakers-sign-deandre-ayton-why-adding-big-man-after-buyout-is-exactly-the-move-la-needed/,https://sportshub.cbsistatic.com/i/r/2025/07/02/6332dd83-86a3-4d9f-b066-a8187b26bb4d/thumbnail/1200x675/68008907bd77daf226182b6a6717ddc1/ayton-getty-1.png,en,2025-07-02T22:11:06.000000Z,sports
jaxson hayes,"(hayes OR ""jaxson hayes"") AND NBA AND (""free agency"" OR ""free agent"" OR offseason)",hayes; jaxson hayes,3dce248c-596c-450a-b266-004e7a280d23,espn.com,A post-Finals look at all 30 teams' for 2025-26,Let's see where all 30 teams stand in the NBA Power Rankings ahead of the 2025-26 season.,"Open Extended Reactions

The 2024-25 NBA season has officially come to a close as the Oklahoma City Thunder are crowned the new champions of the league and clai...",https://www.espn.com/nba/story/_/id/45486382/way-too-early-nba-power-rankings-post-finals-all-30-teams-2025-26,https://a.espncdn.com/combiner/i?img=%2Fphoto%2F2024%2F1209%2F241211_nba_fantasy%2Ddraft%2Dguide_16x9.jpg,en,2025-06-23T04:10:17.000000Z,"sports,general"
jaxson hayes,"(hayes OR ""jaxson hayes"") AND NBA AND (""free agency"" OR ""free agent"" OR offseason)",hayes; jaxson hayes,65baec48-8f16-481f-a73b-c22b91a250e4,cbssports.com,"LeBron James still deserves a max salary, but Lakers probably need him to take less to compete for NBA title",James has a $52.6 million player option for next season,"LeBron James didn't sign a max contract when he joined the Miami Heat in 2010. Instead, he took slightly less as a way to help Miami put the best possible roste...",https://www.cbssports.com/nba/news/lebron-james-still-deserves-a-max-salary-but-lakers-probably-need-him-to-take-less-to-compete-for-nba-title/,https://sportshub.cbsistatic.com/i/r/2025/06/12/0bfa4085-acde-43e7-85ed-a7a4ed523ab3/thumbnail/1200x675/2878b04d1c1a32ceb918ad8710581c9f/lebron-james-lakers-g.jpg,en,2025-06-12T13:26:27.000000Z,sports
jaxson hayes,"(hayes OR ""jaxson hayes"") AND NBA AND (""free agency"" OR ""free agent"" OR offseason)",hayes; jaxson hayes,45dcba3c-2a76-4171-9a06-39b32cc301b7,cbssports.com,"Winners and losers of Myles Turner signing with Bucks: Damian Lillard, Pacers and any team who needs a center",Turner and the Bucks gave us the biggest surprise of free agency,"Well... there's your free agency stunner. After months of speculation about one of the crazier offseasons ever coming in 2025, the summer's transaction cycle st...",https://www.cbssports.com/nba/news/winners-and-losers-of-myles-turner-signing-with-bucks-damian-lillard-pacers-and-any-team-who-needs-a-center/,https://sportshub.cbsistatic.com/i/r/2025/07/01/69138442-b24f-4429-b8c6-9bb42e901283/thumbnail/1200x675/1923700de8cea918c860a903a73f6f1a/turner-getty-1.png,en,2025-07-01T18:53:24.000000Z,sports
deandre ayton,"(""deandre ayton"") AND NBA AND (""free agency"" OR ""free agent"" OR offseason)",deandre ayton,f1299de4-8fc5-4cd2-ad89-acdc564d8ad8,cbssports.com,"NBA free agency rankings: Top 50 players with Myles Turner at No. 1 and Deandre Ayton, CP3, Russ available",These are the top 50 players remaining on Monday with free agency set to open at 6 p.m. ET,"With the NBA's 2025 free agency period is set to begin at 6 p.m. ET on Monday, a lot has already taken shape with big names coming off the board. LeBron James, ...",https://www.cbssports.com/nba/news/nba-free-agency-rankings-top-50-players-with-myles-turner-at-no-1-and-deandre-ayton-cp3-russ-available/,https://sportshub.cbsistatic.com/i/r/2025/06/30/3a8a9987-ad04-4bc2-a389-d89672ef989b/thumbnail/1200x675/41431258cf1b0cd8d473a6de02c8e54c/myles-turner.png,en,2025-06-30T13:10:17.000000Z,sports
deandre ayton,"(""deandre ayton"") AND NBA AND (""free agency"" OR ""free agent"" OR offseason)",deandre ayton,d9943b0c-2ed3-4204-8d79-e05564521cc0,cbssports.com,"NBA free agency: Five lingering questions, including Warriors' Jonathan Kuminga issue, Lakers' missing center","Free agency has only just begun, but we're quickly running out of talent","Free agency officially kicked off on Monday evening, but within a few hours many of the biggest moves had already been made. At this point, most rosters are beg...",https://www.cbssports.com/nba/news/nba-free-agency-five-lingering-questions-including-warriors-jonathan-kuminga-issue-lakers-missing-center/,https://sportshub.cbsistatic.com/i/r/2025/05/03/dd0c0727-b785-4d8c-ad72-271becf8cfd1/thumbnail/1200x675/463e13422d17d2686b9d0eaf2da1ebab/050225-jonathankuminga.jpg,en,2025-07-01T05:22:46.000000Z,sports
deandre ayton,"(""deandre ayton"") AND NBA AND (""free agency"" OR ""free agent"" OR offseason)",deandre ayton,c8208dc2-5a09-41fb-89de-647da6b71409,cbssports.com,"NBA free agency winners and losers: Rockets, Hawks ready to take flight; Lakers, Celtics coming up empty","Also, the Grizzlies and Magic are both winners after a mutually beneficial trade and some nice signings","Well, we're through the first night of the NBA's 2025 free agency period (on the East Coast, at least) and there's been some pretty decent activity, though it t...",https://www.cbssports.com/nba/news/nba-free-agency-winners-and-losers-rockets-hawks-ready-to-take-flight-lakers-celtics-coming-up-empty/,https://sportshub.cbsistatic.com/i/r/2025/07/01/6b7d412c-3481-419e-aba4-295ac03934af/thumbnail/1200x675/68bd7e308faf2eca2388e83e7b702d15/063025-lebronjames.jpg,en,2025-07-01T05:02:45.000000Z,sports
eric gordon,"(""eric gordon"" OR gordon) AND NBA AND (""free agency"" OR ""free agent"" OR offseason)",eric gordon; gordon,83ebf031-32fa-4354-81fb-c45b26175630,espn.com,NBA free agency unresolved storylines,"The NBA's offseason flurry is winding down, but key restricted free agent and superstar extension decisions are still looming.","Bobby Marks analyzes what still needs to be done with the Warriors' roster, while Iman Shumpert gives his thoughts on the restricted free agency of Jonathan Kum...",https://www.espn.com/nba/story/_/id/45813852/nba-free-agency-unresolved-storylines-kuminga-giddey-luka-extension,https://a.espncdn.com/combiner/i?img=%2Fphoto%2F2025%2F0724%2Fr1523179_1296x729_16%2D9.jpg,en,2025-07-25T13:43:47.000000Z,sports
tre mann,"(mann OR ""tre mann"") AND NBA AND (""free agency"" OR ""free agent"" OR offseason)",mann; tre mann,41b7c487-226e-416b-accf-23de17e6637d,espn.com,"LeBron's next move, Denver's deals, more intel",Tim Bontemps and Brian Windhorst canvass the league after a week of offseason chaos.,"Tim MacMahon joins ""Get Up"" to break down why building around Luka Doncic has become the Lakers' focus. (1:09)

Open Extended Reactions

The opening week of NBA...",https://www.espn.com/nba/story/_/id/45664205/nba-free-agency-lebron-next-move-denver-deals-more-intel,https://a.espncdn.com/combiner/i?img=%2Fphoto%2F2025%2F0704%2Fr1514676_1296x729_16%2D9.jpg,en,2025-07-04T12:44:42.000000Z,sports
tim hardaway jr,"(hardaway OR ""tim hardaway"") AND NBA AND (""free agency"" OR ""free agent"" OR offseason)",hardaway; tim hardaway,da80ce60-6151-4878-a164-233050f046e1,espn.com,Deals 10 stars should get this summer,A $125 million deal for Giddey? Who could give $80 million to Kuminga? See what our resident GM is offering 10 star free agents.,"Myles Turner says the Pacers are ""built"" for the championship and defying all odds. (1:02)

Turner: 'People don't pay attention to us until we make them' (1:02)...",https://www.espn.com/nba/story/_/id/45515890/nba-free-agency-2025-deals-myles-turner-more-stars-get-summer,https://a1.espncdn.com/combiner/i?img=%2Fphoto%2F2025%2F0604%2Fr1502400_1296x729_16%2D9.jpg,en,2025-06-15T15:13:48.000000Z,sports
