player,action,title
Dru Smith,sign,Dru Smith Signs with Heat
Ron Harper Jr.,sign,Ron Harper Jr. Signs With Celtics
Victor Oladipo Reportedly,sign,Victor Oladipo Reportedly Signs Contract to Enter NBA G League Player Pool
Amir Coffey,sign,Amir Coffey Signs with Bucks
Javonte Green to,sign,Javonte Green to Sign with Pistons
Ricky Council IV,sign,Ricky Council IV Signs with Nets
Johnny Juzang,sign,Johnny Juzang Signs with Timberwolves
TyTy Washington,sign,TyTy Washington Signs with Clippers
Colby Jones,sign,Colby Jones Signs with Pistons
Jared Butler,sign,Jared Butler Signs with Suns
Lindy Waters III,sign,Lindy Waters III Signs with Spurs
Josh Okogie,sign,Josh Okogie Signs with Rockets
Blake Wesley,sign,Blake Wesley Signs with Trail Blazers
Chris Paul,sign,Chris Paul Agrees to Contract With Clippers
Marcus Smart to,sign,Marcus Smart to Sign with Lakers
Yuki Kawamura,sign,Yuki Kawamura Signs with Bulls
Damian Lillard,sign,Damian Lillard Signs with Trail Blazers
Cam Spencer,sign,Cam Spencer Signs With Grizzlies
Cole Anthony to,sign,Cole Anthony to Sign With Bucks
Isaiah Jackson,re-sign,Isaiah Jackson Re-Signs With Pacers
Herb Jones,extension,Herb Jones Signs Pelicans Contract Extension
Marvin Bagley III,sign,Marvin Bagley III Signs with Wizards
Tristan Vukcevic,re-sign,Tristan Vukcevic Re-Signs with Wizards
Jordan McLaughlin,re-sign,Jordan McLaughlin Re-Signs With Spurs
Devin Booker,extension,Devin Booker Signs Max Contract Extension With Suns
Chet Holmgren,extension,Chet Holmgren Signs Max Rookie Contract Extension With Thunder
Branden Carlson,re-sign,Branden Carlson Re-Signs with Thunder
Isaiah Livers,sign,Isaiah Livers Signs with Suns
Paolo Banchero,extension,Paolo Banchero Signs Max Rookie Contract Extension With Magic
Kyle Lowry,re-sign,Kyle Lowry Re-Signs With 76ers
James Wiseman,re-sign,James Wiseman Re-Signs With Pacers
Ryan Rollins,re-sign,Ryan Rollins Re-Signs With Bucks
Jock Landale,sign,Jock Landale Signs With Grizzlies
Larry Nance Jr.,sign,Larry Nance Jr. Signs with Cavaliers
Moe Wagner,re-sign,Moe Wagner Re-Signs with Magic
Jabari Walker,sign,Jabari Walker Signs with 76ers
Jaxson Hayes,re-sign,Jaxson Hayes Re-Signs with Lakers
Deandre Ayton,sign,Deandre Ayton Signs with Lakers
Dante Exum,re-sign,Dante Exum Re-Signs with Mavs
Spencer Dinwiddie,sign,Spencer Dinwiddie Signs with Hornets
Eric Gordon,re-sign,Eric Gordon Re-Signs with 76ers
Tre Mann,re-sign,Tre Mann Re-Signs With Hornets
Larry Nance Jr.,sign,Larry Nance Jr. Signs with Cavs
Drew Eubanks,sign,Drew Eubanks Signs with Kings
Tim Hardaway Jr.,sign,Tim Hardaway Jr. Signs with Nuggets
Josh Minott,sign,Josh Minott Signs with Celtics
Jakob Poeltl,extension,Jakob Poeltl Signs Raptors Extension
Sandro Mamukelashvili,sign,Sandro Mamukelashvili Signs with Raptors
Jericho Sims,re-sign,Jericho Sims Re-Signs with Bucks
Gary Harris,sign,Gary Harris Signs with Bucks
Myles Turner,sign,Myles Turner Signs With Bucks
Guerschon Yabusele,sign,Guerschon Yabusele Signs With Knicks
Shai Gilgeous-Alexander,extension,Shai Gilgeous-Alexander Signs Supermax Thunder Contract Extension
Gary Trent Jr.,re-sign,Gary Trent Jr. Re-Signs With Bucks
Trendon Watford,sign,Trendon Watford Signs with Sixers
Jordan Clarkson,sign,Jordan Clarkson Signs With Knicks
Taurean Prince,re-sign,Taurean Prince Re-Signs With Bucks
Mason Plumlee,sign,Mason Plumlee Signs with Hornets
Luke Kennard,sign,Luke Kennard Signs with Hawks
Nigel Hayes-Davis,sign,Nigel Hayes-Davis Signs with Suns
Tyus Jones,sign,Tyus Jones Signs with Magic
Nickeil Alexander-Walker,sign,Nickeil Alexander-Walker Signs with Hawks
Luka Garza,sign,Luka Garza Signs with Celtics
Brook Lopez,sign,Brook Lopez Signs with Clippers
Caris LeVert,sign,Caris LeVert Signs With Pistons
Clint Capela,sign,Clint Capela Signs with Rockets
Luke Kornet,sign,Luke Kornet Signs with Spurs
Kevon Looney,sign,Kevon Looney Signs with Pelicans
Bruce Brown,sign,Bruce Brown Signs with Nuggets
Dennis Schroder,sign,Dennis Schroder Signs with Kings
Kevin Porter Jr.,re-sign,Kevin Porter Jr. Re-Signs with Bucks
Ty Jerome,sign,Ty Jerome Signs with Grizzlies
D'Angelo Russell,sign,D'Angelo Russell Signs with Mavs
Tre Jones,re-sign,Tre Jones Re-Signs With Bulls
Jake LaRavia,sign,Jake LaRavia Signs With Lakers
Dorian Finney-Smith,sign,Dorian Finney-Smith Signs with Rockets
Paul Reed,re-sign,Paul Reed Re-Signs With Pistons
Santi Aldama,re-sign,Santi Aldama Re-Signs With Grizzlies
"Jaren Jackson Jr., Grizzlies Agree to",extension,"Jaren Jackson Jr., Grizzlies Agree to Extension"
Jeff Green,re-sign,Jeff Green Re-Signs With Rockets
Aaron Holiday,re-sign,Aaron Holiday Re-Signs With Rockets
Jae'Sean Tate,re-sign,Jae'Sean Tate Re-Signs with Rockets
Nicolas Batum Intends to,re-sign,Nicolas Batum Intends to Re-Sign with Clippers
Joe Ingles Intends to,re-sign,Joe Ingles Intends to Re-Sign with Timberwolves
Day'Ron Sharpe Intends to,re-sign,Day'Ron Sharpe Intends to Re-Sign with Nets
Collin Gillespie Intends to,sign,Collin Gillespie Intends to Sign New Suns Contract
Ziaire Williams to,sign,Ziaire Williams to Sign New Nets Contract
Jabari Smith Jr. to,extension,Jabari Smith Jr. to Sign Rockets Extension
Bobby Portis,sign,Bobby Portis Signs New Contract with Bucks
James Harden to,sign,James Harden to Sign New Contract with Clippers
Ajay Mitchell to,sign,Ajay Mitchell to Sign New Contract with Thunder
Julius Randle to,sign,Julius Randle to Sign New Contract with Timberwolves
"Naz Reid Opts Out, to",re-sign,"Naz Reid Opts Out, to Re-Sign with Timberwolves"
Fred VanVleet,re-sign,Fred VanVleet Agrees to Re-Sign with Rockets
Kyrie Irving to,re-sign,Kyrie Irving to Re-Sign with Mavericks
Daniel Gafford,extension,Daniel Gafford Agrees to Extension with Mavericks
Steven Adams,extension,Steven Adams Signs Extension with Rockets
Oladipo,sign,Oladipo Signs G League Contract
