player_key,player,action,Tm,2025-26
dru smith,Dru Smith,sign,MIA,$2378870
amir coffey,Amir Coffey,sign,MIL,$2296274
ricky council iv,Ricky Council IV,sign,PHI,$2221677
lindy waters iii,Lindy Waters III,sign,SAS,$2296274
josh okogie,Josh Okogie,sign,HOU,$2296274
blake wesley,Blake Wesley,sign,WAS,$7022602
blake wesley,Blake Wesley,sign,POR,$7022602
chris paul,Chris Paul,sign,LAC,$2296274
damian lillard,Damian Lillard,sign,POR,$68230450
cam spencer,Cam Spencer,sign,MEM,$2537989
isaiah jackson,Isaiah Jackson,re-sign,IND,$7600000
marvin bagley iii,Marvin Bagley III,sign,WAS,$2296274
jordan mclaughlin,Jordan McLaughlin,re-sign,SAS,$2296274
devin booker,Devin Booker,extension,PHO,$53142264
chet holmgren,Chet Holmgren,extension,OKC,$13731368
paolo banchero,Paolo Banchero,extension,ORL,$15334769
kyle lowry,Kyle Lowry,re-sign,PHI,$2296274
james wiseman,James Wiseman,re-sign,IND,$1000000
ryan rollins,Ryan Rollins,re-sign,MIL,$4000000
jock landale,Jock Landale,sign,HOU,$10296274
jock landale,Jock Landale,sign,MEM,$10296274
larry nance jr,Larry Nance Jr.,sign,CLE,$2296274
jaxson hayes,Jaxson Hayes,re-sign,LAL,$3449323
deandre ayton,Deandre Ayton,sign,POR,$43654814
deandre ayton,Deandre Ayton,sign,LAL,$43654814
dante exum,Dante Exum,re-sign,DAL,$2296274
eric gordon,Eric Gordon,re-sign,PHI,$2296274
tre mann,Tre Mann,re-sign,CHO,$8000000
larry nance jr,Larry Nance Jr.,sign,CLE,$2296274
drew eubanks,Drew Eubanks,sign,SAC,$2296274
tim hardaway jr,Tim Hardaway Jr.,sign,DEN,$2296274
josh minott,Josh Minott,sign,BOS,$2378870
jakob poeltl,Jakob Poeltl,extension,TOR,$19500000
sandro mamukelashvili,Sandro Mamukelashvili,sign,TOR,$2461463
jericho sims,Jericho Sims,re-sign,MIL,$2461463
gary harris,Gary Harris,sign,MIL,$3634153
myles turner,Myles Turner,sign,MIL,$25318251
guerschon yabusele,Guerschon Yabusele,sign,NYK,$5500000
shai gilgeousalexander,Shai Gilgeous-Alexander,extension,OKC,$38333050
gary trent jr,Gary Trent Jr.,re-sign,MIL,$3697105
trendon watford,Trendon Watford,sign,PHI,$2461463
jordan clarkson,Jordan Clarkson,sign,UTA,$16581988
jordan clarkson,Jordan Clarkson,sign,NYK,$16581988
taurean prince,Taurean Prince,re-sign,MIL,$3303774
mason plumlee,Mason Plumlee,sign,CHO,$2296274
luke kennard,Luke Kennard,sign,ATL,$11000000
nigel hayesdavis,Nigel Hayes-Davis,sign,PHO,$2048494
tyus jones,Tyus Jones,sign,ORL,$7000000
nickeil alexanderwalker,Nickeil Alexander-Walker,sign,ATL,$15161800
luka garza,Luka Garza,sign,BOS,$2461463
brook lopez,Brook Lopez,sign,LAC,$8750000
caris levert,Caris LeVert,sign,DET,$14104000
clint capela,Clint Capela,sign,HOU,$6700000
luke kornet,Luke Kornet,sign,SAS,$11000000
kevon looney,Kevon Looney,sign,NOP,$8000000
bruce brown,Bruce Brown,sign,DEN,$2296274
kevin porter jr,Kevin Porter Jr.,re-sign,MIL,$5134000
ty jerome,Ty Jerome,sign,MEM,$8781000
dangelo russell,D'Angelo Russell,sign,DAL,$5685000
tre jones,Tre Jones,re-sign,CHI,$8000000
jake laravia,Jake LaRavia,sign,LAL,$6000000
dorian finneysmith,Dorian Finney-Smith,sign,HOU,$12700000
paul reed,Paul Reed,re-sign,DET,$5335894
santi aldama,Santi Aldama,re-sign,MEM,$18485916
jeff green,Jeff Green,re-sign,HOU,$2296274
aaron holiday,Aaron Holiday,re-sign,HOU,$2296274
jaesean tate,Jae'Sean Tate,re-sign,HOU,$2296274
bobby portis,Bobby Portis,sign,MIL,$13445754
fred vanvleet,Fred VanVleet,re-sign,HOU,$25000000
daniel gafford,Daniel Gafford,extension,DAL,$14386320
steven adams,Steven Adams,extension,HOU,$14130434
