From  To,Player (129),Pos,Yrs,"Value  $1,406,729,444","AAV  $6,998,654",Unnamed: 6
DAL,Kyrie Irving,PG,3,"$118,473,846","$39,491,282",Official
MIL,Myles Turner,C,4,"$108,868,482","$27,217,121",Official
CHI,Josh Giddey,SG,4,"$100,000,000","$25,000,000",Official
ATL,Nickeil Alexander-Walker,SG,4,"$60,647,200","$15,161,800",Official
HOU,Dorian Finney-Smith,PF,4,"$52,705,000","$13,176,250",Official
MEM,Santi Aldama,C,3,"$52,500,002","$17,500,001",Official
HOU,Fred VanVleet,PG,2,"$50,000,000","$25,000,000",Official
DET,Duncan Robinson,SF,3,"$47,978,871","$15,992,957",Official
GSW,Jonathan Kuminga,PF,2,"$46,800,000","$23,400,000",Official
SAC,Dennis Schröder,PG,3,"$44,427,600","$14,809,200",Official
MIL,Bobby Portis,PF,3,"$43,564,242","$14,521,414",Official
SAS,Luke Kornet,C,4,"$40,700,000","$10,175,000",Official
CLE,Sam Merrill,SG,4,"$38,000,000","$9,500,000",Official
DET,Caris LeVert,SG,2,"$28,913,200","$14,456,600",Official
MEM,Ty Jerome,SG,3,"$27,660,150","$9,220,050",Official
MIA,Davion Mitchell,PG,2,"$24,000,000","$12,000,000",Official
CHA,Tre Mann,PG,3,"$24,000,000","$8,000,000",Official
CHI,Tre Jones,PG,3,"$24,000,000","$8,000,000",Official
HOU,Clint Capela,C,3,"$21,105,000","$7,035,000",Official
IND,Isaiah Jackson,PF,3,"$21,000,000","$7,000,000",Official
LAC,Brook Lopez,C,2,"$17,937,500","$8,968,750",Official
NOP,Kevon Looney,C,2,"$16,000,000","$8,000,000",Official
BKN,Day'Ron Sharpe,C,2,"$12,500,000","$6,250,000",Official
BKN,Ziaire Williams,SF,2,"$12,500,000","$6,250,000",Official
LAL,Jake LaRavia,PF,2,"$12,000,000","$6,000,000",Official
MIL,Ryan Rollins,SG,3,"$12,000,000","$4,000,000",Official
GSW,Al Horford,C,2,"$11,654,250","$5,827,125",Official
DAL,D'Angelo Russell,PG,2,"$11,654,250","$5,827,125",Official
LAC,Nicolas Batum,SF,2,"$11,483,280","$5,741,640",Official
NYK,Guerschon Yabusele,PF,2,"$11,275,000","$5,637,500",Official
ATL,Luke Kennard,SG,1,"$11,000,000","$11,000,000",Official
